산업,연령,성별,시도,규모,P_F
건설업,30~39세,여자,경남,100~299인,5.696599706877625e-06
건설업,30~39세,여자,경남,10~19인,3.913810859574628e-06
건설업,30~39세,여자,경남,20~49인,3.7098121207419576e-06
건설업,30~39세,여자,경남,300~499인,1.3952662993480501e-06
건설업,30~39세,여자,경남,50~99인,4.520198360641141e-06
건설업,30~39세,여자,경남,5~9인,4.70148029622823e-06
건설업,30~39세,여자,경남,5인 미만,1.5656798325685886e-05
건설업,30~39세,여자,경북,100~299인,4.161137864140443e-06
건설업,30~39세,여자,경북,10~19인,3.7138111578850516e-06
건설업,30~39세,여자,경북,20~49인,3.0375968239327374e-06
건설업,30~39세,여자,경북,300~499인,1.8229659402339715e-06
건설업,30~39세,여자,경북,50~99인,4.052794918855407e-06
건설업,30~39세,여자,경북,5~9인,4.654738122860097e-06
건설업,30~39세,여자,경북,5인 미만,1.4580860115013613e-05
건설업,30~39세,여자,광주,100~299인,9.75140066607045e-06
건설업,30~39세,여자,광주,10~19인,2.2981838491712375e-06
건설업,30~39세,여자,광주,20~49인,2.875181774424842e-06
건설업,30~39세,여자,광주,300~499인,6.530899117639595e-06
건설업,30~39세,여자,광주,500~999인,6.7397445744651635e-06
건설업,30~39세,여자,광주,50~99인,4.587741268716286e-06
건설업,30~39세,여자,광주,5~9인,2.5936297102237455e-06
건설업,30~39세,여자,광주,5인 미만,8.780363837111247e-06
건설업,30~39세,여자,대구,100~299인,5.563742628568146e-06
건설업,30~39세,여자,대구,10~19인,2.845843503289652e-06
건설업,30~39세,여자,대구,20~49인,3.187932355401244e-06
건설업,30~39세,여자,대구,300~499인,5.763784644559953e-06
건설업,30~39세,여자,대구,500~999인,6.400050826147753e-06
건설업,30~39세,여자,대구,50~99인,4.347778315727812e-06
건설업,30~39세,여자,대구,5~9인,3.1425182703618728e-06
건설업,30~39세,여자,대구,5인 미만,1.1970281261711279e-05
건설업,30~39세,여자,대전,"1,000인 이상",1.378150449622186e-06
건설업,30~39세,여자,대전,100~299인,6.934039390890793e-06
건설업,30~39세,여자,대전,10~19인,2.184399762984485e-06
건설업,30~39세,여자,대전,20~49인,2.7377570538924054e-06
건설업,30~39세,여자,대전,300~499인,7.07156820885602e-06
건설업,30~39세,여자,대전,50~99인,4.106357304132791e-06
건설업,30~39세,여자,대전,5~9인,2.350842402450411e-06
건설업,30~39세,여자,대전,5인 미만,8.819652953465403e-06
건설업,30~39세,여자,부산,100~299인,1.3769534264425296e-05
건설업,30~39세,여자,부산,10~19인,4.113324184409717e-06
건설업,30~39세,여자,부산,20~49인,5.141160255636246e-06
건설업,30~39세,여자,부산,300~499인,1.085462630161082e-05
건설업,30~39세,여자,부산,500~999인,1.0981464771189376e-05
건설업,30~39세,여자,부산,50~99인,8.17295954963339e-06
건설업,30~39세,여자,부산,5~9인,4.3355853762657345e-06
건설업,30~39세,여자,부산,5인 미만,1.6899285040303046e-05
